Konto;Bezeichnung;Saldo
0100;Konzessionen und Schutzrechte;60.000,00
0400;Technische Anlagen und Maschinen;2.100.000,00
1000;Roh-, Hilfs- und Betriebsstoffe;780.000,00
1200;Forderungen aus Lieferungen und Leistungen;1.150.000,00
1300;Sonstige Vermoegensgegenstaende;90.000,00
1800;Bank;180.000,00
1900;Aktive Rechnungsabgrenzung;25.000,00
2000;Gezeichnetes Kapital;-25.000,00
2200;Gewinnruecklagen;-95.000,00
2300;Gewinnvortrag;-95.000,00
3000;Sonstige Rueckstellungen;-350.000,00
3150;Verbindlichkeiten Kreditinstitute kurzfristig;-420.000,00
3200;Verbindlichkeiten Kreditinstitute langfristig;-1.250.000,00
3300;Verbindlichkeiten aus Lieferungen und Leistungen;-680.000,00
3400;Sonstige Verbindlichkeiten kurzfristig;-240.000,00
3500;Sonstige Verbindlichkeiten langfristig;-400.000,00
3600;Gesellschafterdarlehen;-600.000,00
4000;Umsatzerloese;-8.200.000,00
4700;Sonstige betriebliche Ertraege;-45.000,00
5000;Materialaufwand;4.180.000,00
6000;Personalaufwand;2.650.000,00
6200;Abschreibungen;245.000,00
6300;Sonstige betriebliche Aufwendungen;790.000,00
7100;Zinsaufwand;95.000,00
7600;Steuern;55.000,00
