Umsatzanzeige;Kontokorrent Mueller Praezisionstechnik GmbH (fiktiv)
Zeitraum;01.01.2025 - 31.12.2025

Buchungstag;Valutadatum;Buchungstext;Verwendungszweck;Begünstigter/Zahlungspflichtiger;Betrag;Saldo;Währung
31.12.2025;31.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;20.326,95;-420.000,00;EUR
31.12.2025;31.12.2025;Gutschrift;Zahlung Kunde RE-65909;Kunde Gmbh;19.820,77;-440.326,95;EUR
30.12.2025;30.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-32.375,85;-460.147,72;EUR
30.12.2025;30.12.2025;Gutschrift;Zahlung Kunde RE-52697;Kunde Gmbh;31.577,84;-427.771,87;EUR
29.12.2025;29.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-31.764,29;-459.349,71;EUR
29.12.2025;29.12.2025;Gutschrift;Zahlung Kunde RE-73136;Kunde Gmbh;34.486,38;-427.585,42;EUR
26.12.2025;26.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-15.596,85;-462.071,80;EUR
26.12.2025;26.12.2025;Gutschrift;Zahlung Kunde RE-18484;Kunde Gmbh;22.419,23;-446.474,95;EUR
25.12.2025;25.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-21.932,83;-468.894,18;EUR
25.12.2025;25.12.2025;Gutschrift;Zahlung Kunde RE-30963;Kunde Gmbh;26.750,56;-446.961,35;EUR
24.12.2025;24.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.586,12;-473.711,91;EUR
24.12.2025;24.12.2025;Gutschrift;Zahlung Kunde RE-35862;Kunde Gmbh;17.370,45;-457.125,79;EUR
23.12.2025;23.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-28.697,55;-474.496,24;EUR
23.12.2025;23.12.2025;Gutschrift;Zahlung Kunde RE-88081;Kunde Gmbh;25.855,75;-445.798,69;EUR
22.12.2025;22.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-25.875,50;-471.654,44;EUR
22.12.2025;22.12.2025;Gutschrift;Zahlung Kunde RE-70395;Kunde Gmbh;40.837,27;-445.778,94;EUR
19.12.2025;19.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-40.163,62;-486.616,21;EUR
19.12.2025;19.12.2025;Gutschrift;Zahlung Kunde RE-52965;Kunde Gmbh;33.217,63;-446.452,59;EUR
18.12.2025;18.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-36.112,39;-479.670,22;EUR
18.12.2025;18.12.2025;Gutschrift;Zahlung Kunde RE-29833;Kunde Gmbh;39.682,66;-443.557,83;EUR
17.12.2025;17.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-17.450,58;-483.240,49;EUR
17.12.2025;17.12.2025;Gutschrift;Zahlung Kunde RE-49756;Kunde Gmbh;15.261,16;-465.789,91;EUR
16.12.2025;16.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-31.102,47;-481.051,07;EUR
16.12.2025;16.12.2025;Gutschrift;Zahlung Kunde RE-33978;Kunde Gmbh;42.842,98;-449.948,60;EUR
15.12.2025;15.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-35.882,18;-492.791,58;EUR
15.12.2025;15.12.2025;Gutschrift;Zahlung Kunde RE-27394;Kunde Gmbh;39.444,01;-456.909,40;EUR
12.12.2025;12.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-38.175,48;-496.353,41;EUR
12.12.2025;12.12.2025;Gutschrift;Zahlung Kunde RE-66352;Kunde Gmbh;38.693,97;-458.177,93;EUR
11.12.2025;11.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-50.161,97;-496.871,90;EUR
11.12.2025;11.12.2025;Gutschrift;Zahlung Kunde RE-60661;Kunde Gmbh;43.617,32;-446.709,93;EUR
10.12.2025;10.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-15.988,99;-490.327,25;EUR
10.12.2025;10.12.2025;Gutschrift;Zahlung Kunde RE-71045;Kunde Gmbh;18.217,84;-474.338,26;EUR
09.12.2025;09.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-19.356,26;-492.556,10;EUR
09.12.2025;09.12.2025;Gutschrift;Zahlung Kunde RE-40653;Kunde Gmbh;15.727,70;-473.199,84;EUR
08.12.2025;08.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-41.234,90;-488.927,54;EUR
08.12.2025;08.12.2025;Gutschrift;Zahlung Kunde RE-18563;Kunde Gmbh;43.394,63;-447.692,64;EUR
05.12.2025;05.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-43.520,34;-491.087,27;EUR
05.12.2025;05.12.2025;Gutschrift;Zahlung Kunde RE-93097;Kunde Gmbh;42.493,79;-447.566,93;EUR
04.12.2025;04.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-9.279,08;-490.060,72;EUR
04.12.2025;04.12.2025;Gutschrift;Zahlung Kunde RE-88062;Kunde Gmbh;15.113,15;-480.781,64;EUR
03.12.2025;03.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-39.368,78;-495.894,79;EUR
03.12.2025;03.12.2025;Gutschrift;Zahlung Kunde RE-48981;Kunde Gmbh;42.726,84;-456.526,01;EUR
02.12.2025;02.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-18.270,87;-499.252,85;EUR
02.12.2025;02.12.2025;Gutschrift;Zahlung Kunde RE-51482;Kunde Gmbh;16.307,57;-480.981,98;EUR
01.12.2025;01.12.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-45.195,78;-497.289,55;EUR
01.12.2025;01.12.2025;Gutschrift;Zahlung Kunde RE-90868;Kunde Gmbh;43.730,69;-452.093,77;EUR
28.11.2025;28.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-24.700,97;-495.824,46;EUR
28.11.2025;28.11.2025;Gutschrift;Zahlung Kunde RE-53905;Kunde Gmbh;25.889,23;-471.123,49;EUR
27.11.2025;27.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-53.215,99;-497.012,72;EUR
27.11.2025;27.11.2025;Gutschrift;Zahlung Kunde RE-54442;Kunde Gmbh;41.956,55;-443.796,73;EUR
26.11.2025;26.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-21.481,19;-485.753,28;EUR
26.11.2025;26.11.2025;Gutschrift;Zahlung Kunde RE-18238;Kunde Gmbh;22.710,48;-464.272,09;EUR
25.11.2025;25.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-20.321,87;-486.982,57;EUR
25.11.2025;25.11.2025;Gutschrift;Zahlung Kunde RE-18126;Kunde Gmbh;16.877,40;-466.660,70;EUR
24.11.2025;24.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-25.849,85;-483.538,10;EUR
24.11.2025;24.11.2025;Gutschrift;Zahlung Kunde RE-70824;Kunde Gmbh;26.267,03;-457.688,25;EUR
21.11.2025;21.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-36.013,03;-483.955,28;EUR
21.11.2025;21.11.2025;Gutschrift;Zahlung Kunde RE-15328;Kunde Gmbh;38.000,04;-447.942,25;EUR
20.11.2025;20.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-20.306,93;-485.942,29;EUR
20.11.2025;20.11.2025;Gutschrift;Zahlung Kunde RE-91973;Kunde Gmbh;22.440,39;-465.635,36;EUR
19.11.2025;19.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-22.707,97;-488.075,75;EUR
19.11.2025;19.11.2025;Gutschrift;Zahlung Kunde RE-63844;Kunde Gmbh;15.908,46;-465.367,78;EUR
18.11.2025;18.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-27.894,78;-481.276,24;EUR
18.11.2025;18.11.2025;Gutschrift;Zahlung Kunde RE-72198;Kunde Gmbh;24.699,28;-453.381,46;EUR
17.11.2025;17.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-45.842,22;-478.080,74;EUR
17.11.2025;17.11.2025;Gutschrift;Zahlung Kunde RE-35300;Kunde Gmbh;42.585,19;-432.238,52;EUR
14.11.2025;14.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-21.613,25;-474.823,71;EUR
14.11.2025;14.11.2025;Gutschrift;Zahlung Kunde RE-80979;Kunde Gmbh;20.871,47;-453.210,46;EUR
